upload,caption,likes_list,hashtag,location,photo
2020-07-10T05:09:39.000Z,•New spot added. 👨🏻‍💻☕️.Hari ini kita buka jam 10.00 - 24.00 yah ;),22 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/108136725_754247175345480_7384600388844548108_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5WtttoB9UkQAX_eDMWp&oh=1ef097c3b0b414945b28578ef828e5a3&oe=5F3CAC9B
2020-07-09T10:01:14.000Z,•Love between Mom & Son 🖤,54 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106599922_3247087621981331_5911825665599555276_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=9luKUvRQa1EAX-7vDqC&oh=a60b70b384a9a72987ac9204eed234b2&oe=5F3B4094
2020-07-07T10:44:28.000Z,•#nospacebetweenus,34 likes,#nospacebetweenus,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106701385_1120093465043195_7759510154021114059_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ouPxZWFmoaoAX_MESnG&oh=19bee43272deed6e8a1c9086c82f094b&oe=5F3D5167
2020-07-06T11:51:50.000Z,•Yuk gowes finish di The Tower Space lanjut ngopi... 🚴🏻☕️Kita buka hari ini sampai jam 12 malam yah :),30 likes,,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106723713_950479525375305_841332418256841281_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=N0sNoVHLeaQAX_dZtuR&oh=637d1c5e75386ee53e91a4ca50f4db05&oe=5F3A4028
2020-07-06T10:36:40.000Z,•Selamat hari Senin..Masih tetep semangat kan?.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,26 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106384323_109974373999230_6131743505551185013_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=25sFy_NSvI4AX9MNZqF&oh=812ffe558683b35255211a024073bf8d&oe=5F3A678B
2020-07-05T13:06:10.000Z,•New spot added. 🚴🏻.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,73 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106500787_293917451729581_6339986396575496418_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=sOz-zopRGwwAX8mxau2&oh=1a2aa2ca1cf43c94ba332e672f9b7169&oe=5F3B299C
2020-07-05T10:03:01.000Z,•Happy Sunday!.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,43 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106475420_718354295616063_3972524093176461626_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=O4u4-e7tJ9gAX-xI0Tg&oh=d4a618e3c69d39f7e5a32b9f356b19f5&oe=5F3CF745
2020-07-05T08:09:05.000Z,•Yay! Menu baru kita “Donat Kentang” udah bisa diorder yah mulai hari ini. Dijamin rasanya enak banget bikin nagih. 10k ONLY! 😋.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,29 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106402373_938134696657064_8421445525159225558_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=areh5PiUbeAAX__6KYG&oh=282f8e743c4c4b4a0d9a685a8b25e789&oe=5F3CB907
2020-07-04T15:46:34.000Z,•Selamat Hari Sabtu!.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,38 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106575943_271689124102815_384439926109041279_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=K5C7p0VdhUgAX_2MiVa&oh=2aa31c0fb29a3421a16e3da9f4b8c136&oe=5F3A52F2
2020-07-04T03:05:04.000Z,•The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,51 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/73289683_1151422128549179_9077720479859026937_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=GPzewK13z1kAX-N0bqQ&oh=14a2069221196dd4d7b024219ea0ba02&oe=5F3D74A8
2020-07-03T16:21:25.000Z,•Keseruan malam ini 🚴🏻.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,88 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/76965256_643754943161641_441819602877049300_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=QAO7WdfTSboAX9mAiz2&oh=87d9c57c861b1be74ae3ce8710414776&oe=5F3C51DC
2020-07-03T13:25:51.000Z,•#sarapanditower.SABTU & MINGGU07.30 - 10.00,19 likes,#sarapanditower,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106356669_736953813787149_8622161816673755071_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3zbq3pwnbL0AX8oNPae&oh=3b4b3cd766a8048a4207ff7ac5de00f6&oe=5F3B0D71
2020-07-03T13:23:04.000Z,•Gowes pagi biar badan tetap sehat!.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,31 likes,#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106137291_2872979426164544_3634929907661709249_n.jpg?_nc_ht=instagram.fcgk4-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=oonn17lwaIIAX-FEGSt&oh=b9e196c92040e333ef7ee9a09ff0ab85&oe=5F3A1CFB
2020-07-03T13:20:47.000Z,"•BESOK PAGI JAM 07.30 !.Yuk, #sarapanditower !Enjoy our special promo. Apalagi menu reguler Kedai Kopi Kulo & The Tower Space tetap akan tersedia dari jam 07.30 juga loh. Cuma khusus hari Sabtu & Minggu aja. Jadi, sebelum mulai aktivitas kamu / habis olahraga bisa nih mampir #sarapanditower , makan bubur sambil ngopi / ngeteh? Boleh banget! Yuk?.The Tower Space x Kedai Kopi KuloOPEN :MONDAY - FRIDAY 10.00 - 24.00SATURDAY 07.30 - 24.00SUNDAY 07.30 - 23.00..Jl. Duwet V No 14 Karangasem Laweyan Solo 57145.Maps : The Tower SpaceGoFood / GRAB : Kedai Kopi Kulo Karangasem.#thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo",14 likes,#sarapanditower #sarapanditower #thetowerspace #nospacebetweenus #coffeeshopsolo #kopisolo #tempatnongkrongsolo,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/106179312_700327800532357_549481798035424397_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=y1z0C1nygZ4AX9XP-F0&oh=50b9701774c59a9290cc828713ce84fa&oe=5F3DE4F8
2020-07-03T11:06:36.000Z,"•#sarapanditower.Jangan lupa setiap Sabtu & Minggu, kita buka jam 07.30 ya. Nikmati menu spesial bubur ayam / ati ampela / usus / mix, ditambah ada tambahan menu siomay goreng & udang mayonnaise yang dijamin bikin kalian gak nyesel #sarapanditower 😋.Tentunya ada spesial promo buat besok hari Sabtu & Minggu.Yuk? :)",44 likes,#sarapanditower #sarapanditower,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106304111_574679610143283_797668521523323601_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=guzPfV84Pm4AX8wN33O&oh=1f90a15b3c262a8c2c35a0cc54b9aa9e&oe=5F3CC533
2020-07-03T10:27:49.000Z,•⏳ REMINDER ⌛️The Tower SpaceOPEN DAILYSenin - Jumat : 10.00 - 24.00Sabtu : 07.30 - 24.00Minggu : 07.30 - 23.00,13 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106057455_1847308332079019_1737266990834304964_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=2tIFgZGbr74AX_iLsYJ&oh=a18de968675c4edcf653e1efaf7c02c0&oe=5F3D5C8E
2020-07-03T10:11:15.000Z,"•Yay besok udah hari Sabtu. Jangan lupa kalo kita buka jam 07.30 ya besok, jadi bisa sarapan bubur ayam dulu sebelum kamu mulai aktivitas / setelah kamu olahraga pagi. Menu reguler lainnya tetep bisa kalian pesen dari jam 07.30 kok.Aku tunggu kamu besok pagi ya :)",45 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106236348_731021607647868_300279119761867946_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=DG-atTaodK0AX86GkZm&oh=419ec3dd38aaff2a3484098716d94c73&oe=5F3C1079
2020-07-02T11:39:46.000Z,"•Di @thetower_space, Indoor area? Ada. Semi Outdoor area? Ada. Outdoor area? Ada juga. Yuk?Open Until 24.00.",38 likes,,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106123545_275331540247810_7234318324235954029_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XaWhsmkcZJsAX-0nu66&oh=7417d7fa125e3ebde8b8a51e50142298&oe=5F3AB925
2020-07-02T11:37:21.000Z,"•Yuk, jadikan harimu makin efektif dengan nugas bareng di @thetower_space 👨🏻‍💻.Aku tunggu kamu sampai jam 12 malam ini ya :)",42 likes,,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/106228463_117956229705436_2197834071264090045_n.jpg?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uKXSVffzHacAX9ao2vd&oh=fd2d186daababc5215fe813e7324ab3b&oe=5F3CDEFB
2020-07-01T15:43:03.000Z,•We are still open until 24.00 👨🏻‍💻,35 likes,,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/106422910_925987601162354_2764281336476193183_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=myh3qywS5LsAX8yO-YH&oh=56938a2dbb7c4018160589baf2c76a0f&oe=5F3BC7E3
